question_code,question,inserted_question,inserted_criteria,dimension1,dimension2,score_system,source
weh_exec_*,Q3: Executive flexibility is tested by combining three items.,cav_exec_modif,Flexibilidade do Executivo na Execução,Formal legislative authority vis-à-vis the executive,Executive Flexibility during Implementation,Round sum of the subcomponents.,Wehner (2006)
weh_exec_real,Q3-A: The OECD asked whether there is scope for appropriations to be reallocated from one programme to another without parliamentary approval (question 3.2.a.4),cav_exec_modif,Flexibilidade do Executivo na Execução,Formal legislative authority vis-à-vis the executive,Executive Flexibility during Implementation,"I assign each answer a score of 3.3 if it is negative, as a positive answer implies executive flexibility to vire, impound and authorise fresh funds, respectively.The sum of the scores for each case can range between zero and ten and is interpreted as an indicator of executive flexibility during budget execution. Appendix 2 provides full details.",Wehner (2006)
weh_exec_withold,"Q3-B: the executive may withhold funds that are appropriated, but not available on a legal or entitlement basis, without legislative consent (question 3.1.c)",cav_exec_imp,Flexibilidade do Executivo na Execução,Formal legislative authority vis-à-vis the executive,Executive Flexibility during Implementation,"I assign each answer a score of 3.3 if it is negative, as a positive answer implies executive flexibility to vire, impound and authorise fresh funds, respectively.The sum of the scores for each case can range between zero and ten and is interpreted as an indicator of executive flexibility during budget execution. Appendix 2 provides full details.",Wehner (2006)
weh_exec_res,Q3-C: whether the annual budget includes any central reserve funds to meet unforeseen expenditures (question 3.2.c.1),No institutional change in Brazil.,Flexibilidade do Executivo na Execução,Formal legislative authority vis-à-vis the executive,Executive Flexibility during Implementation,"I assign each answer a score of 3.3 if it is negative, as a positive answer implies executive flexibility to vire, impound and authorise fresh funds, respectively.",Wehner (2006)
weh_time_sc,Q4: The OECD also asked (question 2.7.b):‘How far in advance of the beginning of the fiscal year does the executive present its budget to the legislature?’,No institutional change in Brazil.,Transparência,Organisational capacity of the legislature,Time for Scrutiny,"and provided four response options, i.e. up to two months [0], two to four months [3.3], four to six months [6.7] and more than six months [10].",Wehner (2006)
weh_com_*,Q5: Data on the role of parliamentary committees in budget approval are available in the OECD survey (question 2.10.a).,"Yes, questions ""cav_com_sec"" e ""cav_com_aud",Capacidade do Comitê Orçamentário,Organisational capacity of the legislature,Committee Capacity,Round sum of the subcomponents.,Wehner (2006)
weh_com_bud,Q5-A: Data on the role of parliamentary committees in budget approval are available in the OECD survey (question 2.10.a).,No institutional change in Brazil.,Capacidade do Comitê Orçamentário,Organisational capacity of the legislature,Committee Capacity,"I distinguish the involvement of three sets of specialised committees and give equal scores [3.3] to each category, i.e. a budget or finance committee, sectoral or departmental committees, and an ex post audit committee.",Wehner (2006)
weh_com_sec,Q5-B: Data on the role of parliamentary committees in budget approval are available in the OECD survey (question 2.10.a).,cav_com_sec,Capacidade do Comitê Orçamentário,Organisational capacity of the legislature,Committee Capacity,"Involvement of sectoral committees gets a score of 3.3 only if they have actual authority over departmental budgets, but not if they are merely consulted or submit non-binding recommendations while a finance or budget committee retains full authority. Also, if a legislature uses an audit sub-committee of the budget committee for the purpose of parliamentary audit, I assign half the available score for this item [1.7].",Wehner (2006)
weh_com_aud,"Q5-C: The survey also asked whether audit results are circulated and discussed in parliament (question 4.5.m), but the answer categories are ambiguous with regard to the nature of committee engagement with audit findings. Therefore, data on parliamentary audit committees were gathered in a separate survey of parliamentary websites that was conducted during January 2004.",cav_com_aud,Capacidade do Comitê Orçamentário,Organisational capacity of the legislature,Committee Capacity,"I distinguish the involvement of three sets of specialised committees and give equal scores [3.3] to each category, i.e. a budget or finance committee, sectoral or departmental committees, and an ex post audit committee.",Wehner (2006)
weh_res_cap,"Q6: However, one of the key differences between countries is the level of legislative budget research capacity (question 2.10.e).",No institutional change in Brazil.,Transparência,Organisational capacity of the legislature,Access to Budgetary Information,"I distinguish legislatures without such research capacity [0] from those with a budget office of up to 10 professional staff [2.5], 11 to 25 [5], 26 to 50 [7.5] and more than 50 [10].",Wehner (2006)
